State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Thane,Kalyan,Pineapple,Other,Local,11-09-2024,4000,5000,4500,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,22-04-2022,400,500,450,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,30-06-2022,400,700,550,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,01-07-2022,400,700,550,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,08-07-2022,600,800,700,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,06-07-2023,1200,1600,1400,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,11-07-2023,6000,8000,7500,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,01-11-2023,700,1000,850,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,18-04-2022,800,1200,1000,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,28-04-2022,400,600,500,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,23-08-2022,500,600,550,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,29-09-2022,800,1200,1000,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,09-05-2022,400,600,500,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,19-05-2022,500,700,600,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,09-06-2022,500,700,600,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,03-08-2022,500,600,550,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,08-08-2022,500,600,550,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,24-08-2022,450,600,550,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,13-09-2022,400,600,500,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,10-07-2023,1000,1200,1100,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,05-07-2023,1200,1600,1400,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,08-07-2023,1200,1600,1400,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,05-07-2022,600,800,700,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,06-07-2022,600,800,700,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,27-07-2022,600,700,650,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,29-07-2022,600,700,650,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,18-08-2020,2500,3500,3000,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,17-05-2022,500,700,600,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,31-05-2022,500,700,600,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,08-06-2022,500,700,600,21
Maharashtra,Thane,Kalyan,Pineapple,Other,FAQ,28-06-2023,1000,1200,1100,21
Maharashtra,Thane,Kalyan,Pineapple,Other,Local,04-11-2024,800,900,850,21
