State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Thane,Bhivandi,Wheat,Other,FAQ,17-01-2020,1750,2100,1900,1
Maharashtra,Thane,Bhivandi,Wheat,Other,FAQ,05-03-2020,1900,3100,2250,1
Maharashtra,Thane,Bhivandi,Wheat,Other,FAQ,03-01-2019,2000,2350,2150,1
Maharashtra,Thane,Bhivandi,Wheat,Other,FAQ,22-01-2019,1900,2750,2150,1
Maharashtra,Thane,Bhivandi,Wheat,Other,FAQ,16-03-2019,1850,2400,1950,1
Maharashtra,Thane,Bhivandi,Wheat,Other,FAQ,23-09-2019,1800,2450,2050,1
Maharashtra,Thane,Bhivandi,Wheat,Other,FAQ,22-10-2019,1850,2400,2150,1
Maharashtra,Thane,Bhivandi,Wheat,Other,FAQ,08-11-2019,1800,2850,2250,1
Maharashtra,Thane,Bhivandi,Wheat,Other,FAQ,27-11-2019,1800,3150,2150,1
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,07-01-2019,2350,4800,3150,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,21-01-2019,2460,4700,3150,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,23-01-2019,2350,4500,3150,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,28-01-2019,2780,4500,3550,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,30-01-2019,3480,6250,4550,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,31-01-2019,3480,6250,4550,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,15-02-2019,2350,3500,2850,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,20-02-2019,2750,4580,3250,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,25-02-2019,2700,4650,3250,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,11-03-2019,2400,4650,3500,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,15-03-2019,2380,4550,3550,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,22-03-2019,2340,3350,2800,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,26-03-2019,2150,3500,2350,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,27-03-2019,2350,3400,2900,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,28-03-2019,2170,3450,2700,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,03-04-2019,2150,3250,2700,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,12-04-2019,1880,2450,2150,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,13-05-2019,2150,3450,2300,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,14-06-2019,1900,2850,2350,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,24-06-2019,2200,2850,2450,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,01-07-2019,2100,3450,2600,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,02-07-2019,2140,3300,2550,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,15-07-2019,2300,4650,3450,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,18-07-2019,2300,4300,3250,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,29-07-2019,2100,3150,2450,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,30-07-2019,1950,3600,2400,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,01-08-2019,2100,3350,2400,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,23-08-2019,1950,3350,2900,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,27-08-2019,2050,3400,2450,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,03-09-2019,2240,3450,2300,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,14-10-2019,2150,3800,2350,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,18-10-2019,1940,3750,2350,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,24-10-2019,1950,3650,2400,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,01-11-2019,2400,4800,3400,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,02-11-2019,2350,4650,3300,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,06-11-2019,2100,4250,2800,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,15-11-2019,2350,3450,2500,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,16-11-2019,1980,3150,2450,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,22-11-2019,1900,3200,2350,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,25-11-2019,2150,3250,2340,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,26-11-2019,1940,3150,2100,3
Maharashtra,Thane,Bhivandi,Rice,1009 Kar,FAQ,29-11-2019,1850,3450,2250,3
